ID,Total,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree
90206,98,12,28,22,15,10,6,5,2,7,0,0,0,0,0,1,2,0,1,0,1,1,4,4,1,3,1,3,7,11,37,12
91704,123,6,29,41,6,7,20,14,12,4,1,1,0,2,1,1,0,0,1,1,0,2,2,3,4,5,3,4,4,16,23,33
91306,299,56,82,37,6,14,30,74,19,4,3,0,0,0,0,0,0,0,0,2,1,0,1,1,3,3,2,3,12,60,125,60
90701,215,34,93,39,16,8,13,15,17,9,3,2,2,3,2,1,1,1,2,2,8,6,5,4,4,6,11,11,15,22,38,43
92810,230,29,80,63,12,12,22,18,14,8,2,0,0,0,0,1,1,3,2,3,14,22,6,17,5,1,8,19,18,28,40,24
92407,75,4,26,28,13,1,9,0,11,15,7,2,2,0,0,2,1,0,0,0,1,0,0,0,1,1,2,4,9,3,10,10
91406,118,11,30,25,6,13,4,0,14,15,10,2,2,0,0,0,0,0,0,0,0,1,0,4,1,1,3,3,5,6,8,14
91929,508,78,183,112,42,28,47,37,88,55,28,14,5,6,7,2,1,3,5,0,5,3,6,1,9,7,9,14,23,50,78,108
93112,62,11,30,10,9,4,5,6,8,7,2,0,0,0,1,0,0,0,0,2,2,1,1,2,2,1,2,1,2,7,17,17
93118,100,13,34,29,9,5,6,6,11,10,1,4,0,2,3,1,5,3,2,1,1,0,1,2,1,2,4,5,2,11,13,17
91327,18,0,3,8,2,1,0,0,1,3,1,2,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
92510,73,18,33,16,0,0,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,4,8,16,27,12
90506,132,22,46,29,10,5,6,11,17,5,2,2,0,0,0,0,2,0,0,0,0,4,7,7,0,3,0,4,9,18,23,26
90604,42,5,15,9,9,5,0,7,14,4,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,3,4,6,9
90605,39,6,25,3,2,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,4,6,7,6
91529,469,38,115,240,39,14,11,11,80,44,33,24,13,3,1,1,2,2,1,4,1,0,1,1,2,8,10,22,25,50,68,72
90231,48,0,26,17,2,1,3,1,5,6,3,0,1,1,0,0,0,0,0,0,0,2,0,0,1,2,2,0,4,5,12,6
90331,15,3,1,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
92530,841,120,170,199,38,59,86,177,159,95,39,12,1,2,2,3,4,6,1,2,1,2,4,4,5,6,8,16,40,116,142,179
90801,70,9,21,8,5,11,6,6,2,2,0,0,0,0,1,0,2,6,1,3,3,0,0,3,5,2,7,3,7,7,5,7
93031,15,1,3,10,3,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,2,1,1,1,1,2
90606,22,4,6,6,1,1,0,5,4,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2,3,6
93008,147,20,26,33,21,14,12,14,24,15,7,3,3,2,1,0,0,0,1,1,2,2,3,2,4,7,5,2,6,12,19,19
91405,77,19,30,21,2,3,6,3,12,7,7,2,2,0,1,2,0,2,0,0,2,3,1,2,1,1,1,4,3,4,8,19
93129,34,7,12,12,1,1,0,1,7,2,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2,4,1,4,7
92431,11,1,2,7,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,1
92831,7,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
92803,27,0,3,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,14,0,1
92903,171,1,47,98,12,1,0,2,14,7,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,9,30,17,25,28
93007,78,9,37,21,1,3,8,6,6,5,7,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,3,6,5,8,19,19
92417,40,3,3,14,4,2,6,7,3,7,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,2,3,3,8
90531,31,3,11,8,3,2,4,2,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,3
92207,17,0,10,5,1,1,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
92015,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92527,20,1,10,3,2,2,2,0,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,1,0,0,3,4
92931,63,10,18,17,10,3,3,2,8,5,3,1,2,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,3,13,11,11
92507,27,1,14,9,2,2,1,0,4,7,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,8
90117,23,2,4,9,3,3,1,2,1,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,1,0,1,2,4,6
